0,asgardianpa
1,Ebony Maw
2,Thanos
3,Thor
4,Thanos
5,Loki
6,Loki
7,Thor
8,Thor
9,Loki
10,Thanos
11,Loki
12,Ebony Maw
13,Heimdall
14,Thanos
15,Thor
16,Ebony Maw
17,Ebony Maw
18,Thanos
19,Proxima Midnight
20,Loki
21,Thanos
22,Loki
23,Thanos
24,Loki
25,Thanos
26,Thor
27,Doctor Strange
28,Wong
29,Doctor Strange
30,Wong
31,Doctor Strange
32,Wong
33,Doctor Strange
34,Wong
35,Doctor Strange
36,Wong
37,Hulk
38,Doctor Strange
39,Iron Man
40,Pepper Potts
41,Iron Man
42,Pepper Potts
43,Iron Man
44,Pepper Potts
45,Iron Man
46,Pepper Potts
47,Iron Man
48,Pepper Potts
49,Iron Man
50,Pepper Potts
51,Iron Man
52,Pepper Potts
53,Iron Man
54,Pepper Potts
55,Iron Man
56,Pepper Potts
57,Iron Man
58,Pepper Potts
59,Iron Man
60,Pepper Potts
61,Iron Man
62,Pepper Potts
63,Iron Man
64,Pepper Potts
65,Iron Man
66,Pepper Potts
67,Iron Man
68,Pepper Potts
69,Iron Man
70,Doctor Strange
71,Iron Man
72,Doctor Strange
73,Iron Man
74,Hulk
75,Iron Man
76,Hulk
77,Pepper Potts
78,Iron Man
79,Wong
80,Doctor Strange
81,Iron Man
82,Hulk
83,Iron Man
84,Hulk
85,Doctor Strange
86,Iron Man
87,Doctor Strange
88,Iron Man
89,Iron Man
90,Doctor Strange
91,Wong
92,Iron Man
93,Doctor Strange
94,Iron Man
95,Doctor Strange
96,Wong
97,Hulk
98,Iron Man
99,Doctor Strange
100,Iron Man
101,Doctor Strange
102,Iron Man
103,Doctor Strange
104,Hulk
105,Iron Man
106,Hulk
107,Iron Man
108,Hulk
109,Iron Man
110,Doctor Strange
111,Iron Man
112,Doctor Strange
113,Iron Man
114,Hulk
115,Iron Man
116,Hulk
117,Iron Man
118,Hulk
119,Iron Man
120,Hulk
121,Iron Man
122,Doctor Strange
123,Iron Man
124,Iron Man
125,Hulk
126,Iron Man
127,Friday
128,Iron Man
129,Doctor Strange
130,Spider-Man
131,nedleeds
